Outcome,Model,Evaluation_weighting,Axis,Metric,Point_estimate,CI95_lower,CI95_upper,Valid_replicates,Requested_replicates
MEDNG,LR,Unweighted,Poverty,Brier,0.05165433040959081,0.03605452433037613,0.06968064127512788,400,400
MEDNG,LR,Unweighted,Poverty,Calibration_abs_error,0.015542391856578755,0.003168492949086628,0.03784010347718401,400,400
MEDNG,LR,WTFA_A,Poverty,AUPRC,0.1262138636736183,0.047708938588840066,0.27387774099893847,400,400
MEDNG,LR,WTFA_A,Poverty,AUROC,0.06757238654158848,0.02002836356041763,0.16896809601148777,400,400
MEDNG,LR,WTFA_A,Poverty,Recall,0.1612524082800042,0.06550736109770915,0.30026317784393997,400,400
MEDNG,LR,WTFA_A,Poverty,FNR,0.1612524082800043,0.06550736109770931,0.3002631778439399,400,400
MEDNG,LR,WTFA_A,Poverty,FPR,0.1187022193604928,0.09328527625359054,0.15047836180581975,400,400
MEDNG,LR,WTFA_A,Poverty,Brier,0.046711238777060946,0.03289896958746524,0.0656866495810731,400,400
MEDNG,LR,WTFA_A,Poverty,Calibration_abs_error,0.0032829289725594263,0.0016864661238210495,0.02877884714939446,400,400
MEDNG,LR,Unweighted,Insurance,AUPRC,0.30910069864641815,0.20639822946204192,0.406517498358314,400,400
MEDNG,LR,Unweighted,Insurance,AUROC,0.027219277120943408,0.0019622898622345063,0.08942334108223438,400,400
MEDNG,LR,Unweighted,Insurance,Recall,0.5608228046361075,0.48054515566290923,0.6506944012581379,400,400
MEDNG,LR,Unweighted,Insurance,FNR,0.5608228046361072,0.48054515566290923,0.6506944012581379,400,400
MEDNG,LR,Unweighted,Insurance,FPR,0.5319706555136792,0.47622859800580647,0.5847416590556482,400,400
MEDNG,LR,Unweighted,Insurance,Brier,0.11854709820793227,0.09813990652242367,0.14015282446739888,400,400
MEDNG,LR,Unweighted,Insurance,Calibration_abs_error,0.020504870022677486,0.0011932619117354217,0.05709787873516079,400,400
MEDNG,LR,WTFA_A,Insurance,AUPRC,0.32158248175734383,0.19390072601816796,0.4488978398853862,400,400
MEDNG,LR,WTFA_A,Insurance,AUROC,0.008414716290430668,0.0010847292646448624,0.0753040752560594,400,400
MEDNG,LR,WTFA_A,Insurance,Recall,0.5839163307149564,0.4981311938000626,0.6582610161222424,400,400
MEDNG,LR,WTFA_A,Insurance,FNR,0.5839163307149564,0.4981311938000625,0.6582610161222424,400,400
MEDNG,LR,WTFA_A,Insurance,FPR,0.5258310428223345,0.4640737661927074,0.5877378636475238,400,400
MEDNG,LR,WTFA_A,Insurance,Brier,0.11602873720419479,0.09179858152524042,0.14089947860144444,400,400
MEDNG,LR,WTFA_A,Insurance,Calibration_abs_error,0.009931798489779015,0.0004324843392802249,0.048509419480137865,400,400
MEDNG,LR,Unweighted,Sex,AUPRC,0.021696160549108834,0.0012249460039513009,0.10768959972191908,400,400
MEDNG,LR,Unweighted,Sex,AUROC,0.004838910487820258,0.0008855945975320581,0.045860025556312835,400,400
MEDNG,LR,Unweighted,Sex,Recall,0.036604042190634345,0.0017251185076408596,0.12212500785564642,400,400
MEDNG,LR,Unweighted,Sex,FNR,0.0366040421906344,0.0017251185076408054,0.12212500785564631,400,400
MEDNG,LR,Unweighted,Sex,FPR,0.027815682325159866,0.013833947719985175,0.03963110778271831,400,400
MEDNG,LR,Unweighted,Sex,Brier,0.010479423445356253,0.0019514558721627766,0.01779846138929398,400,400
MEDNG,LR,Unweighted,Sex,Calibration_abs_error,0.0007415094653118459,0.00015355456853185045,0.00845468291011198,400,400
MEDNG,LR,WTFA_A,Sex,AUPRC,0.03669478572379653,0.002389832826398791,0.1533670279283584,400,400
MEDNG,LR,WTFA_A,Sex,AUROC,0.03306360586875623,0.0014807079251581733,0.08395262738943962,400,400
MEDNG,LR,WTFA_A,Sex,Recall,0.035615146842504886,0.0021646554270350316,0.13954609692471398,400,400
MEDNG,LR,WTFA_A,Sex,FNR,0.03561514684250472,0.002164655427035195,0.13954609692471412,400,400
MEDNG,LR,WTFA_A,Sex,FPR,0.030516606816232875,0.011135950785791233,0.04968493202045038,400,400
MEDNG,LR,WTFA_A,Sex,Brier,0.01657151694989554,0.005925108688204135,0.02705885521512382,400,400
MEDNG,LR,WTFA_A,Sex,Calibration_abs_error,0.001983870587886065,0.00011369430134685421,0.01160043828790147,400,400
MEDNG,LR,Unweighted,Age,AUPRC,0.23898942676267754,0.12804531703933772,0.346754560729735,400,400
MEDNG,LR,Unweighted,Age,AUROC,0.0411383236007663,0.02632671658087571,0.13036993314851314,400,400
MEDNG,LR,Unweighted,Age,Recall,0.39370485036119707,0.2669673157724629,0.549962370986238,400,400
MEDNG,LR,Unweighted,Age,FNR,0.39370485036119707,0.26696731577246285,0.549962370986238,400,400
MEDNG,LR,Unweighted,Age,FPR,0.14295619990246033,0.12123126137959105,0.16551444102858157,400,400
MEDNG,LR,Unweighted,Age,Brier,0.05218142716839629,0.041959620717513475,0.06556469470017978,400,400
MEDNG,LR,Unweighted,Age,Calibration_abs_error,0.01926466771882747,0.007686384248181688,0.03693607933606611,400,400
MEDNG,LR,WTFA_A,Age,AUPRC,0.22846064122615514,0.08986927692591293,0.3933014915908193,400,400
