Outcome,Model,Comparison,Metric,Before,After,Absolute_delta
MEDNG,LR,Evaluation_weighting_effect,F1,0.3403880070546737,0.35352592670694327,0.01313791965226957
MEDNG,LR,Evaluation_weighting_effect,Specificity,0.9158722194346881,0.9004466099847556,-0.015425609449932542
MEDNG,LR,Evaluation_weighting_effect,Brier,0.055476024339646206,0.05642375949959117,0.0009477351599449652
MEDNG,LR,Evaluation_weighting_effect,Observed_prevalence,0.06825619448340346,0.07073520223294323,0.002479007749539769
MEDNG,LR,Evaluation_weighting_effect,Mean_predicted_probability,0.06799769042568968,0.07423121798870914,0.006233527563019467
MEDNG,LR,Evaluation_weighting_effect,Predicted_positive_rate,0.10846189808321646,0.12756328994553356,0.019101391862317102
MEDNG,LR,Training_weighting_effect,AUROC,0.79674374451312,0.7958010220396032,-0.0009427224735167883
MEDNG,LR,Training_weighting_effect,AUPRC,0.3173907179532671,0.31541247463704225,-0.0019782433162248703
MEDNG,LR,Training_weighting_effect,Recall,0.495535857670429,0.48117357356665974,-0.014362284103769274
MEDNG,LR,Training_weighting_effect,Precision,0.27477990823973775,0.2690577123498637,-0.005722195889874049
MEDNG,LR,Training_weighting_effect,F1,0.35352592670694327,0.34512946441281683,-0.008396462294126439
MEDNG,LR,Training_weighting_effect,Specificity,0.9004466099847556,0.9004971490613086,5.053907655305778e-05
MEDNG,LR,Training_weighting_effect,Brier,0.05642375949959117,0.05658779934405165,0.00016403984446047848
MEDNG,LR,Training_weighting_effect,Observed_prevalence,0.07073520223294323,0.07073520223294323,0.0
MEDNG,LR,Training_weighting_effect,Mean_predicted_probability,0.07423121798870914,0.07448822420828523,0.0002570062195760836
MEDNG,LR,Training_weighting_effect,Predicted_positive_rate,0.12756328994553356,0.12650040669017423,-0.0010628832553593315
MEDNG,LR,Combined_weighting_effect,AUROC,0.7942410308224905,0.7958010220396032,0.0015599912171126995
MEDNG,LR,Combined_weighting_effect,AUPRC,0.3007181583801104,0.31541247463704225,0.01469431625693185
MEDNG,LR,Combined_weighting_effect,Recall,0.4406392694063927,0.48117357356665974,0.04053430416026704
MEDNG,LR,Combined_weighting_effect,Precision,0.27729885057471265,0.2690577123498637,-0.008241138224848954
MEDNG,LR,Combined_weighting_effect,F1,0.3403880070546737,0.34512946441281683,0.004741457358143131
MEDNG,LR,Combined_weighting_effect,Specificity,0.9158722194346881,0.9004971490613086,-0.015375070373379485
MEDNG,LR,Combined_weighting_effect,Brier,0.055476024339646206,0.05658779934405165,0.0011117750044054436
MEDNG,LR,Combined_weighting_effect,Observed_prevalence,0.06825619448340346,0.07073520223294323,0.002479007749539769
