Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,11,SEX_A,0.09378108854205827,3.5818127453518853,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_5,WTFA_A,12,DISAB3_A,0.0910234707425585,3.4764901186409802,331,2620717.5870000003
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,1,AGEP_A,0.6665167842535364,23.60652163246362,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,2,NOTCOV_A,0.34380473254722704,12.17678841397672,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,3,FDSCAT3_A,0.33400051025492095,11.829544966998846,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,4,PHSTAT_A,0.25635087983318466,9.079370142284676,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,5,RATCAT_A,0.2441012443268663,8.645515673197965,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,6,EDUCP_A,0.1974948912038782,6.994823733849074,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,7,HISPALLP_A,0.178288928437467,6.314591838375736,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,8,CHRONIC_BURDEN_CAT,0.1564499829460604,5.54110563164733,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,9,K6SPD_A,0.13119718407624714,4.646708435831571,298,2170348.889
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,RATCAT_A,code_6,Unweighted,10,DISAB3_A,0.12277647137216874,4.348465778923516,298,2170348.889
