Outcome,Model,Split,Explained_output,Aggregation,Rank,Encoded_feature,Feature_construct,Mean_abs_SHAP,Importance_share_pct,Mean_signed_SHAP,N_explained
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,60,EDUCP_A=Missing,EDUCP_A,1.1574740718903614e-05,0.01231652420203127,2.0648843107622263e-06,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,61,SEX_A=Missing,SEX_A,0.0,0.0,0.0,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,62,PHSTAT_A=Missing,PHSTAT_A,0.0,0.0,0.0,6417
MEDNG,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,63,DISAB3_A=Missing,DISAB3_A,0.0,0.0,0.0,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,1,AGEP_A,AGEP_A,0.49013124713657,16.187700391046192,-0.09742088412914099,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,2,FDSCAT3_A=1,FDSCAT3_A,0.3086657129137721,10.194387953895486,-0.09970370534904578,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,3,PHSTAT_A=1,PHSTAT_A,0.18078643527268815,5.970883648118231,-0.04734662197503669,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,4,NOTCOV_A=2,NOTCOV_A,0.17857627704993334,5.897888140617374,-0.04579059601056192,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,5,RATCAT_A=14,RATCAT_A,0.16878922139147717,5.574648343858534,-0.042708127635733145,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,6,NOTCOV_A=1,NOTCOV_A,0.1504044938673384,4.967450858143337,-0.030561155921631084,6417
MEDNG,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,7,CHRONIC_BURDEN_CAT=0,CHRONIC_BURDEN_CAT,0.1251876172201613,4.134606091874577,-0.007696983371775377,6417
