Outcome,Model,Split,Explained_output,Subgroup,Level,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,N,Weight_sum
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,4,PHSTAT_A,0.2946548973106834,12.448426963963124,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,5,NOTCOV_A,0.24520041984886537,10.359099902565998,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,6,FDSCAT3_A,0.21695850150427043,9.165950014192655,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,7,EDUCP_A,0.20926388916594932,8.8408720311561,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,8,CHRONIC_BURDEN_CAT,0.17798695245468954,7.519500264183276,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,9,SEX_A,0.11483329732116904,4.851417464228942,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,10,DISAB3_A,0.08112787707756293,3.4274483871095107,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,11,HISPALLP_A,0.074895795979963,3.164158663826316,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,Unweighted,12,K6SPD_A,0.046706725441657354,1.9732414621070984,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,1,AGEP_A,0.3212166259246497,13.293203468024116,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,2,PHSTAT_A,0.29995190283164,12.413185847663211,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,3,RATCAT_A,0.29718839777162254,12.298821172603258,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,4,EMPWRKLSW1_A,0.2931538501705269,12.131855773448068,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,5,NOTCOV_A,0.259831432292707,10.752843464787889,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,6,FDSCAT3_A,0.22451889404229275,9.291472171867156,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,7,EDUCP_A,0.2152063876416395,8.906084142761216,470,3697012.5979999998
MEDNG,LR,locked_test,base_estimator_log_odds,RATCAT_A,code_10,WTFA_A,8,CHRONIC_BURDEN_CAT,0.17732423966320476,7.338372323880275,470,3697012.5979999998
