Outcome,Model,Feature_construct,Explained_output,Level,N,Weighted_mean_SHAP,Weighted_mean_abs_SHAP,Weight_sum
MEDDL,XGBoost,HISPALLP_A,base_estimator_raw_margin_log_odds,code_5,43,-0.9304657333290922,0.9304657333290922,289909.742
MEDDL,XGBoost,HISPALLP_A,base_estimator_raw_margin_log_odds,code_6,66,-0.9420756200194592,0.9420756200194592,434208.203
MEDDL,XGBoost,HISPALLP_A,base_estimator_raw_margin_log_odds,code_7,77,-0.9735393750065546,0.9735393750065546,732585.7319999998
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,Missing/special,32,0.19533764194816639,0.19533764194816639,363870.308
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,code_1,440,0.17847816296933106,0.17847816296933106,4132990.264
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,code_10,249,0.17617368243270426,0.17617368243270426,1652957.372
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,code_2,116,0.16435936424853373,0.16435936424853373,1212495.1609999998
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,code_3,147,0.1677364635978397,0.1677364635978397,1130892.3709999998
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,code_4,1491,0.15996897648707867,0.15996897648707867,12655618.363
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,code_5,923,0.1532311387489495,0.1532311387489495,7577074.116
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,code_6,276,0.16728652531865468,0.16728652531865468,2050406.017
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,code_7,577,0.16461573017953807,0.16461573017953807,4617930.43
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,code_8,1469,0.16393083660970778,0.16393083660970778,10106311.267
MEDDL,XGBoost,EDUCP_A,base_estimator_raw_margin_log_odds,code_9,699,0.17107101851388867,0.17107101851388867,4769638.392999999
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_1,188,0.530777883358657,0.530777883358657,1438230.0329999998
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_10,470,0.5261116236908884,0.5261116236908884,3697012.5979999998
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_11,388,0.5222443550548022,0.5222443550548022,3303098.671
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_12,394,0.525980781687043,0.525980781687043,3100767.9
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_13,324,0.5187801382802256,0.5187801382802256,2607330.073
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_14,1930,0.5198787903314329,0.5198787903314329,15348993.286000002
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_2,187,0.5266969986705179,0.5266969986705179,1384944.663
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_3,322,0.5291209743792842,0.5291209743792842,2378042.798
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_4,252,0.5279540559781534,0.5279540559781534,1789827.5900000003
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_5,331,0.5338773936811975,0.5338773936811975,2620717.5870000003
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_6,298,0.5337935171727715,0.5337935171727715,2170348.889
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_7,274,0.5275212026278084,0.5275212026278084,2014189.3329999999
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_8,530,0.5328846407102246,0.5328846407102246,4181768.7849999997
MEDDL,XGBoost,RATCAT_A,base_estimator_raw_margin_log_odds,code_9,531,0.5302105453085781,0.5302105453085781,4234911.856000001
MEDDL,XGBoost,EMPWRKLSW1_A,base_estimator_raw_margin_log_odds,Missing/special,193,0.018149443614001604,0.020359840457996808,1493308.372
MEDDL,XGBoost,EMPWRKLSW1_A,base_estimator_raw_margin_log_odds,code_1,3556,0.019973109385646635,0.021850544956300778,30918994.353
MEDDL,XGBoost,EMPWRKLSW1_A,base_estimator_raw_margin_log_odds,code_2,2670,0.00996118603331098,0.012476651882144993,17857881.336999997
MEDDL,XGBoost,NOTCOV_A,base_estimator_raw_margin_log_odds,Missing/special,19,0.5105044520626238,0.5105044520626238,173199.387
MEDDL,XGBoost,NOTCOV_A,base_estimator_raw_margin_log_odds,code_1,472,0.511336270724317,0.511336270724317,4745382.67
MEDDL,XGBoost,NOTCOV_A,base_estimator_raw_margin_log_odds,code_2,5928,0.5092685636751699,0.5092685636751699,45351602.004999995
MEDDL,XGBoost,FDSCAT3_A,base_estimator_raw_margin_log_odds,Missing/special,231,0.27187092002099184,0.27187092002099184,1866140.906
