Outcome,Model,Split,Explained_output,Aggregation,Rank,Feature_construct,Mean_abs_SHAP,Importance_share_pct,Mean_signed_SHAP,N_explained
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,5,PHSTAT_A,0.009182805378969287,7.946234213193323,-0.00029364643124437154,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,6,K6SPD_A,0.008678445656919302,7.50979237285018,1.7309830063074712e-05,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,7,RATCAT_A,0.007509123393614142,6.497932903825144,0.0004026305416187838,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,8,DISAB3_A,0.005758808254174967,4.983317982688381,-0.0001365815472474766,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,9,CHRONIC_BURDEN_CAT,0.004416176400954035,3.8214870685516766,0.0004007363770363532,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,10,EDUCP_A,0.0032005809305355806,2.7695856160212555,1.4726666101467418e-05,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,11,SEX_A,0.0031877714010007632,2.7585010380906825,-0.00015304171183734374,6419
MEDDL,RF,locked_test,base_estimator_positive_class_probability,WTFA_A,12,HISPALLP_A,0.002985108447222827,2.5831289997433107,-9.292566065189713e-05,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,1,HISPALLP_A,0.8941885376054417,24.234475646111246,-0.8941885376054417,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,2,K6SPD_A,0.6389247094022434,17.316264589090103,0.6389247094022434,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,3,RATCAT_A,0.5252258720916403,14.234776079772168,0.5252258720916403,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,4,NOTCOV_A,0.5076445595949336,13.7582838506623,0.5076445595949336,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,5,FDSCAT3_A,0.2775322994381807,7.521735594771857,0.2775322994381807,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,6,AGEP_A,0.25850303827628696,7.006000772866891,-0.08848847299994134,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,7,DISAB3_A,0.22515874949807593,6.102297224511835,0.22515874949807593,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,8,EDUCP_A,0.16945937229298644,4.5927216220387015,0.16945937229298644,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,9,SEX_A,0.06574046009509345,1.7817110286440276,-0.06574046009509345,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,10,PHSTAT_A,0.06233664314011711,1.6894601043366162,0.008288745843378957,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,11,CHRONIC_BURDEN_CAT,0.04845525679617664,1.3132440099239568,-0.03854782094255093,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,Unweighted,12,EMPWRKLSW1_A,0.016568009041552697,0.4490294772702936,0.014138775418739877,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,1,HISPALLP_A,0.9204733142434925,24.986168619324367,-0.9204733142434925,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,2,K6SPD_A,0.6400146249619425,17.373141720328583,0.6400146249619425,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,3,RATCAT_A,0.5256254123819336,14.268056423961395,0.5256254123819336,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,4,NOTCOV_A,0.5094680082663494,13.829465084662928,0.5094680082663494,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,5,FDSCAT3_A,0.2688532410693107,7.297998009568208,0.2688532410693107,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,6,DISAB3_A,0.23257329413051264,6.313181983198155,0.23257329413051264,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,7,AGEP_A,0.2285142461095396,6.202999475224721,-0.023609380442600376,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,8,EDUCP_A,0.16411980377355315,4.455017899380039,0.16411980377355315,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,9,SEX_A,0.07110890489516114,1.930245082125212,-0.07110890489516114,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,10,PHSTAT_A,0.05725898669546801,1.554290248729749,-0.0009323615648160613,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,11,CHRONIC_BURDEN_CAT,0.04744527548541953,1.2878979054849553,-0.033385280998932974,6419
MEDDL,XGBoost,locked_test,base_estimator_raw_margin_log_odds,WTFA_A,12,EMPWRKLSW1_A,0.018476299270581937,0.5015375480116738,0.01636232024825641,6419
