Outcome,Model,Evaluation_weighting,Selected_probability,Locked_threshold,Axis,Group,N,Positive_N,Negative_N,FN_weighted_count,FP_weighted_count,FNR,FPR,Share_of_all_FN,Share_of_all_FP,Eligibility_rule,Interpretation_boundary
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Race_ethnicity,NH Black,671,56,615,27.0,48.0,0.48214285714285715,0.07804878048780488,0.0903010033444816,0.10344827586206896,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Poverty,<100% FPL,697,82,615,46.0,81.0,0.5609756097560976,0.13170731707317074,0.15384615384615385,0.17456896551724138,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Poverty,100-199% FPL,1155,129,1026,59.0,149.0,0.4573643410852713,0.145224171539961,0.19732441471571907,0.32112068965517243,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Poverty,>=200% FPL,4567,312,4255,194.0,234.0,0.6217948717948718,0.05499412455934195,0.6488294314381271,0.5043103448275862,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Insurance,Uninsured,472,134,338,22.0,186.0,0.16417910447761194,0.5502958579881657,0.07357859531772576,0.40086206896551724,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Insurance,Insured,5928,387,5541,276.0,275.0,0.7131782945736435,0.0496300306803826,0.9230769230769231,0.5926724137931034,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Sex,Male,2958,195,2763,117.0,181.0,0.6,0.06550850524791893,0.391304347826087,0.3900862068965517,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Sex,Female,3460,328,3132,182.0,282.0,0.5548780487804879,0.09003831417624521,0.6086956521739131,0.6077586206896551,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Age,18-34,1296,163,1133,67.0,190.0,0.4110429447852761,0.1676963812886143,0.22408026755852842,0.40948275862068967,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Age,35-49,1424,142,1282,74.0,147.0,0.5211267605633803,0.11466458658346333,0.24749163879598662,0.3168103448275862,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Age,50-64,1524,171,1353,116.0,98.0,0.6783625730994152,0.07243163340724317,0.3879598662207358,0.21120689655172414,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,Unweighted,Platt,0.1599999999999999,Age,65-74,1165,31,1134,27.0,23.0,0.8709677419354839,0.020282186948853614,0.0903010033444816,0.04956896551724138,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Race_ethnicity,Hispanic,935,92,843,513965.02099999995,1322854.7030000002,0.5229305071428821,0.16337949499686447,0.21516764895959878,0.31957570572993454,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Race_ethnicity,NH White,4243,339,3904,1481046.369,2004899.326,0.5621362124950007,0.07250214216454794,0.6200290918589194,0.4843442863157134,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Race_ethnicity,NH Black,671,56,615,227761.16799999998,534304.97,0.3970882928456886,0.09607566527215193,0.09535052589279651,0.12907758310533177,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Poverty,<100% FPL,697,82,615,319445.025,655349.1909999999,0.4591286039736718,0.14545686710546704,0.13373329349798352,0.1583194887075717,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Poverty,100-199% FPL,1155,129,1026,455983.388,1217041.1380000003,0.4140344170330216,0.1624071487779835,0.19089406779025248,0.294013227376123,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Poverty,>=200% FPL,4567,312,4255,1613243.971,2267019.142,0.6049315801114571,0.06705756036098443,0.6753726387117639,0.5476672839163053,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Insurance,Uninsured,472,134,338,205217.866,1879669.351,0.15627605378388384,0.547656126534446,0.0859129394950128,0.4540911847858117,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Insurance,Insured,5928,387,5541,2159301.334,2235317.1489999997,0.6915820573488114,0.05293280032179993,0.9039755089327477,0.5400087052658723,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Sex,Male,2958,195,2763,968967.1540000001,1793759.2650000001,0.5418389084064749,0.0784187099822406,0.40565092161253036,0.4333369959089027,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Sex,Female,3460,328,3132,1419705.23,2341038.451,0.5306103093623564,0.10210592819385633,0.5943490783874696,0.5655488946916022,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Age,18-34,1296,163,1133,621816.516,1960546.0720000002,0.38458068140541773,0.15667680381883153,0.2603188784552884,0.47362941157072114,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Age,35-49,1424,142,1282,661326.309,1336522.154,0.5139156160442663,0.11835894548319013,0.27685936063469807,0.32287749336311067,PASS,Group-level aggregate; do not use for individual micro-targeting.
MEDDL,LR,WTFA_A,Platt,0.1599999999999999,Age,50-64,1524,171,1353,887341.3150000001,679010.898,0.6836749316248649,0.06513298230345149,0.37147886874050284,0.16403569223026498,PASS,Group-level aggregate; do not use for individual micro-targeting.
